Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€), Number of employees 2022 ,Number of employees 2019,Founding Year
1, , ,Raylyst Solar,Czech Rep,Wholesale,"                           78,890.5",                                          824.4,"                                111,274,906","                                      134,204",                     14,1,2018
2, , ,Adagio.io,France,Advertising & Marketing,"                           31,700.5",                                          582.6,"                                  42,153,471","                                      132,556",                     18,11,2016
3, , ,Bidberry,Italy,Advertising & Marketing,"                           14,319.7",                                          424.4,"                                  14,498,769","                                      100,548",                       6,3,2018
4, , ,Solar Direktinvest,Germany,Energy & Utilities,"                           11,335.4",                                          385.4,"                                  28,290,148","                                      247,390",                     35,2,2016
5, , ,Vakanta,Sweden,IT & Software,"                             9,564.8",                                          358.9,"                                  13,086,811","                                      144,436",                       3,3,2013
6, , ,Pader Solartechnik,Germany,Energy & Utilities,"                             8,124.2",                                          334.9,"                                    9,385,589","                                      114,122",                     42,7,2019
7, , ,The Sense Experience Resort,Italy,Hospitality & Travel,"                             7,775.7",                                          328.6,"                                    8,147,588","                                      103,452",                     43,5,2017
8, , ,Modern Milkman,UK,Ecommerce,"                             7,432.4",                                          322.3,"                                  51,320,694","                                      714,058",                   160,7,2018
9, , ,Fairlo,Sweden,"Fintech, Fin Serv & Insurance ","                             7,406.7",                                          321.8,"                                  11,971,243","                                      170,108",                     56,4,2018
10, , ,Ad Specialist,Germany,Advertising & Marketing,"                             7,237.5",                                          318.6,"                                  13,499,389","                                      183,979",                       4,1,2019
11, , ,Taxually,Hungary,"Fintech, Fin Serv & Insurance ","                             7,234.9",                                          318.6,"                                  10,613,846","                                      175,081",                   120,10,2018
12,3, ,WECO,Italy,Electrical Manufacturing,"                             6,903.3",                                          312.2,"                                218,989,389","                                    3,126,942",                     17,3,2015
13, , ,instagrid,Germany,Energy & Utilities,"                             6,593.2",                                          306.0,"                                  14,841,997","                                      221,747",                   100,14,2018
14, , ,TapNation,France,Leisure & Entertainment,"                             6,491.4",                                          303.9,"                                  44,324,280","                                      672,460",                     33,4,2019
15, , ,Oceania,Italy,Construction & Engineering,"                             6,209.5",                                          298.1,"                                  18,373,177","                                      291,200",                       2,1,2004
16,12, ,Join Talent,UK,"Prof, Scientific & Tech Serv","                             6,148.5",                                          296.8,"                                  19,424,721","                                      325,804",                   226,5,2018
17, , ,Deutscher Bauservice,Germany,Construction & Engineering,"                             5,534.7",                                          283.4,"                                    7,516,126","                                      133,389",                     95,5,2019
18, , ,Continest,Hungary,Manufacturing,"                             5,510.7",                                          282.8,"                                    9,118,544","                                      196,638",                     90,7,2019
19, , ,Skinport,Germany,IT & Software,"                             5,510.0",                                          282.8,"                                    9,503,258","                                      169,398",                     11,1,2018
20,106,479,Business Innovation Lab,Italy,"Fintech, Fin Serv & Insurance ","                             5,111.7",                                          273.5,"                                  38,710,920","                                      742,774",                     67,13,2012
21, , ,Controlant,Iceland,IT & Software,"                             4,790.1",                                          265.7,"                                124,359,081","                                    2,431,036",                   428,53,2007
22, , ,Energia Locale,Italy,Energy & Utilities,"                             3,978.1",                                          244.2,"                                    5,252,804","                                      128,805",                       6,1,2018
23,4, ,Silverstream Technologies,UK,"Prof, Scientific & Tech Serv","                             3,953.1",                                          243.5,"                                  41,453,489","                                    1,022,761",                     93,14,2010
24, , ,Surfer SEO,Poland,IT & Software,"                             3,857.2",                                          240.8,"                                  12,238,393","                                      341,735",                     59,9,2018
25, , ,Plug-in Festivals,Germany,Ecommerce,"                             3,662.0",                                          235.1,"                                    6,442,913","                                      171,264",                       4,2,2018
26, , ,Bit Mobility,Italy,IT & Software,"                             3,620.9",                                          233.8,"                                    7,009,714","                                      188,386",                   106,15,2019
27, , ,Fair Collection,Norway,"Fintech, Fin Serv & Insurance ","                             3,596.6",                                          233.1,"                                    3,487,645","                                      100,504",                     14,5,2018
28, , ,Groupe Courtin,France,Real Estate,"                             3,489.0",                                          229.9,"                                  47,488,703","                                    1,323,172",                     60,10,2017
29, , ,Index.dev,UK,IT & Software,"                             3,348.9",                                          225.5,"                                    5,848,713","                                      162,109",                     45,9,2019
30, , ,Iceye,Finland,Aerospace & Defence,"                             3,335.3",                                          225.1,"                                  49,434,000","                                    1,439,000",                   504,164,2014
31,75, ,Main Solution,Italy,Energy & Utilities,"                             3,319.4",                                          224.6,"                                  43,533,381","                                    1,273,142",                     44,5,2015
32,86, ,Devot,Croatia,IT & Software,"                             3,284.7",                                          223.5,"                                    8,934,626","                                      263,971",                     32,8,2016
33, , ,Aqualy,Italy,Food & Beverages,"                             3,271.2",                                          223.0,"                                    3,592,554","                                      106,567",                     11,1,2019
34,25,331,OnBuy.com,UK,Ecommerce,"                             3,262.8",                                          222.8,"                                  13,266,416","                                      413,460",                   114,23,2014
35, , ,Nativery,Italy,Advertising & Marketing,"                             3,252.5",                                          222.4,"                                    4,175,090","                                      124,538",                       9,1,2018
36,231, ,nanosun,Czech Rep,Wholesale,"                             3,198.3",                                          220.7,"                                192,934,151","                                    5,572,621",                     50,10,2013
37, , ,The Longevity Suite,Italy,Health Care & Life Sciences,"                             3,139.4",                                          218.8,"                                    9,362,000","                                      289,000",                     51,2,2019
38, , ,Movo Partnership,UK,"Fintech, Fin Serv & Insurance ","                             3,125.7",                                          218.3,"                                  13,100,175","                                      425,627",                     30,6,2018
39, , ,Pace,Italy,Automotive,"                             3,112.1",                                          217.9,"                                    3,726,000","                                      116,000",                       2,3,2019
40, , ,Chāmpo,UK,Pharma & Cosmetics,"                             3,067.6",                                          216.4,"                                    9,917,321","                                      328,131",                       9,2,2016
41, , ,Woltair,Czech Rep,Energy & Utilities,"                             2,991.9",                                          213.9,"                                  18,048,984","                                      556,129",                   160,25,2018
