Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€),Number of employees 2022,Number of employees 2019,Founding Year
1,,,Raylyst Solar,Czech Rep,Wholesale,78890.5,824.4,111274906,134204,14,1.0,2018
2,,,Adagio.io,France,Advertising & Marketing,31700.5,582.6,42153471,132556,18,11.0,2016
3,,,Bidberry,Italy,Advertising & Marketing,14319.7,424.4,14498769,100548,6,3.0,2018
4,,,Solar Direktinvest,Germany,Energy & Utilities,11335.4,385.4,28290148,247390,35,2.0,2016
5,,,Vakanta,Sweden,IT & Software,9564.8,358.9,13086811,144436,3,3.0,2013
6,,,Pader Solartechnik,Germany,Energy & Utilities,8124.2,334.9,9385589,114122,42,7.0,2019
7,,,The Sense Experience Resort,Italy,Hospitality & Travel,7775.7,328.6,8147588,103452,43,5.0,2017
8,,,Modern Milkman,UK,Ecommerce,7432.4,322.3,51320694,714058,160,7.0,2018
9,,,Fairlo,Sweden,"Fintech, Fin Serv & Insurance",7406.7,321.8,11971243,170108,56,4.0,2018
10,,,Ad Specialist,Germany,Advertising & Marketing,7237.5,318.6,13499389,183979,4,1.0,2019
11,,,Taxually,Hungary,"Fintech, Fin Serv & Insurance",7234.9,318.6,10613846,175081,120,10.0,2018
12,3.0,,WECO,Italy,Electrical Manufacturing,6903.3,312.2,218989389,3126942,17,3.0,2015
13,,,instagrid,Germany,Energy & Utilities,6593.2,306.0,14841997,221747,100,14.0,2018
14,,,TapNation,France,Leisure & Entertainment,6491.4,303.9,44324280,672460,33,4.0,2019
15,,,Oceania,Italy,Construction & Engineering,6209.5,298.1,18373177,291200,2,1.0,2004
16,12.0,,Join Talent,UK,"Prof, Scientific & Tech Serv",6148.5,296.8,19424721,325804,226,5.0,2018
17,,,Deutscher Bauservice,Germany,Construction & Engineering,5534.7,283.4,7516126,133389,95,5.0,2019
18,,,Continest,Hungary,Manufacturing,5510.7,282.8,9118544,196638,90,7.0,2019
19,,,Skinport,Germany,IT & Software,5510.0,282.8,9503258,169398,11,1.0,2018
20,106.0,479.0,Business Innovation Lab,Italy,"Fintech, Fin Serv & Insurance",5111.7,273.5,38710920,742774,67,13.0,2012
21,,,Controlant,Iceland,IT & Software,4790.1,265.7,124359081,2431036,428,53.0,2007
22,,,Energia Locale,Italy,Energy & Utilities,3978.1,244.2,5252804,128805,6,1.0,2018
23,4.0,,Silverstream Technologies,UK,"Prof, Scientific & Tech Serv",3953.1,243.5,41453489,1022761,93,14.0,2010
24,,,Surfer SEO,Poland,IT & Software,3857.2,240.8,12238393,341735,59,9.0,2018
